@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {BoatPose, BowPose, Bridge, ChildsPose, CobraPose, DownwardFacingDog, MeditationPose, Plank, SeatedForwardBend, StandingMoving, StandingStill, TheExtendedSideAngle, TheTree, UpwardPlank}

@data
-0.0658569, 0.0778198, -1.00488, CobraPose
-0.0663452, 0.0776367, -1.00098, CobraPose
-0.0683594, 0.0745239, -1.00098, CobraPose
-0.0650024, 0.0726318, -1.00293, CobraPose
-0.0697021, 0.0842896, -1.00195, CobraPose
-0.0680542, 0.0834961, -1.00098, CobraPose
-0.0718994, 0.0917969, -0.999023, CobraPose
-0.0672607, 0.0962524, -1.00195, CobraPose
-0.0699463, 0.112061, -0.996094, CobraPose
-0.0692749, 0.110718, -0.998047, CobraPose
-0.0723267, 0.142334, -0.995117, CobraPose
-0.0792236, 0.125, -0.994141, CobraPose
-0.760742, 0.0909424, -0.650879, DownwardFacingDog
-0.755371, 0.0762939, -0.65918, DownwardFacingDog
-0.755371, 0.0679932, -0.65918, DownwardFacingDog
-0.755859, 0.0705566, -0.657715, DownwardFacingDog
-0.752441, 0.0686646, -0.65918, DownwardFacingDog
-0.752441, 0.0703125, -0.661621, DownwardFacingDog
-0.750977, 0.0756836, -0.663086, DownwardFacingDog
-0.751465, 0.0770264, -0.663086, DownwardFacingDog
-0.747559, 0.0764771, -0.668945, DownwardFacingDog
-0.750977, 0.069397, -0.664063, DownwardFacingDog
-0.75, 0.0715942, -0.665527, DownwardFacingDog
-0.750488, 0.0765381, -0.662598, DownwardFacingDog
-0.748535, 0.0767212, -0.66748, DownwardFacingDog
-0.748047, 0.0765991, -0.66748, DownwardFacingDog
-0.75, 0.0820313, -0.665527, DownwardFacingDog
-0.750488, 0.0834351, -0.662598, DownwardFacingDog
-0.745605, 0.0847168, -0.670898, DownwardFacingDog
-0.747559, 0.0810547, -0.66748, DownwardFacingDog
-0.743164, 0.0801392, -0.67334, DownwardFacingDog
-0.763184, 0.0917969, -0.648438, DownwardFacingDog
-0.763672, 0.101074, -0.643066, DownwardFacingDog
-0.771484, 0.0962524, -0.638184, DownwardFacingDog
-0.751465, 0.102051, -0.65918, DownwardFacingDog
-0.75293, 0.100159, -0.657715, DownwardFacingDog
-0.750977, 0.0985107, -0.658691, DownwardFacingDog
-0.750977, 0.0986938, -0.658691, DownwardFacingDog
-0.751465, 0.0983887, -0.656738, DownwardFacingDog
-0.752441, 0.097229, -0.65918, DownwardFacingDog
-0.751465, 0.0892944, -0.658691, DownwardFacingDog
-0.750977, 0.0925903, -0.65918, DownwardFacingDog
-0.750977, 0.09375, -0.659668, DownwardFacingDog
-0.750977, 0.0952759, -0.661133, DownwardFacingDog
-0.75, 0.097229, -0.662598, DownwardFacingDog
-0.748535, 0.0953979, -0.664063, DownwardFacingDog
-0.746582, 0.0983276, -0.667969, DownwardFacingDog
-0.746094, 0.097168, -0.666992, DownwardFacingDog
-0.749023, 0.0941162, -0.665039, DownwardFacingDog
-0.748535, 0.09552, -0.665527, DownwardFacingDog
-0.312988, -0.959473, 0.0369873, MeditationPose
-0.309814, -0.959473, 0.0349426, MeditationPose
-0.307129, -0.961426, 0.0303192, MeditationPose
-0.318115, -0.954102, 0.0243378, MeditationPose
-0.335449, -0.953125, 0.0102615, MeditationPose
-0.339111, -0.950684, 0.00959778, MeditationPose
-0.336426, -0.946289, 0.00681686, MeditationPose
-0.335938, -0.94873, 0.00743866, MeditationPose
-0.333496, -0.948242, 0.00804138, MeditationPose
-0.330566, -0.95166, 0.00788879, MeditationPose
-0.328857, -0.948242, 0.00760269, MeditationPose
-0.328613, -0.950684, 0.0074501, MeditationPose
-0.328613, -0.952148, 0.00377083, MeditationPose
-0.327637, -0.956055, 0.00115204, MeditationPose
-0.327148, -0.954102, 0.00279045, MeditationPose
-0.328125, -0.950684, 0.00369263, MeditationPose
-0.32666, -0.955078, 0.00295258, MeditationPose
-0.327637, -0.953613, 0.00506592, MeditationPose
-0.328125, -0.954102, 0.00507736, MeditationPose
-0.330811, -0.950684, 0.00701904, MeditationPose
-0.329834, -0.947266, 0.00718689, MeditationPose
-0.329834, -0.951172, 0.00699234, MeditationPose
-0.328857, -0.951172, 0.0065155, MeditationPose
-0.328857, -0.953613, 0.00562668, MeditationPose
-0.328613, -0.949219, 0.00546646, MeditationPose
-0.328613, -0.949707, 0.00679779, MeditationPose
-0.328369, -0.955078, 0.00718307, MeditationPose
-0.327637, -0.955078, 0.00721741, MeditationPose
-0.327393, -0.957031, 0.00735474, MeditationPose
-0.327637, -0.957031, 0.00775909, MeditationPose
-0.327148, -0.957031, 0.00779343, MeditationPose
-0.0376587, 0.0264893, -1.0127, Plank
-0.0407104, 0.024765, -1.01074, Plank
-0.0517578, 0.0274506, -1.00195, Plank
-0.0450745, 0.0153275, -1.00879, Plank
-0.0381775, 0.023056, -1.00781, Plank
-0.0338745, 0.022049, -1.00781, Plank
-0.0294647, 0.02005, -1.00781, Plank
-0.0291901, 0.0175018, -1.00977, Plank
-0.032196, 0.00592804, -1.01074, Plank
-0.0294952, 0.00919342, -1.00977, Plank
-0.0294037, 0.0117645, -1.00684, Plank
-0.0279694, 0.000860214, -1.00781, Plank
-0.0277863, 0.0214844, -1.01074, Plank
-0.0309296, 0.0170746, -1.00781, Plank
-0.027298, 0.0144119, -1.01172, Plank
-0.0299683, 0.00914001, -1.00488, Plank
-0.0223999, 0.0103149, -1.00781, Plank
-0.0248413, 0.0125351, -1.00879, Plank
-0.023056, 0.0144348, -1.01172, Plank
-0.019043, 0.0159302, -1.01367, Plank
-0.0245056, 0.0211182, -1.00488, Plank
-0.0223083, 0.0211639, -1.01074, Plank
-0.0185242, 0.0250397, -1.01172, Plank
-0.0219269, 0.0255585, -1.00684, Plank
-0.0187225, 0.0242615, -1.01074, Plank
-0.025528, -0.0678711, 1, SeatedForwardBend
-0.0265503, -0.0654297, 1, SeatedForwardBend
-0.0263214, -0.0631714, 1, SeatedForwardBend
-0.0261993, -0.0617371, 1, SeatedForwardBend
-0.0286713, -0.0520325, 1, SeatedForwardBend
-0.029068, -0.052002, 1, SeatedForwardBend
-0.0301666, -0.0467834, 1, SeatedForwardBend
-0.0275421, -0.053772, 1, SeatedForwardBend
-0.0294342, -0.0497437, 1, SeatedForwardBend
-0.0281372, -0.0559998, 1, SeatedForwardBend
-0.0280457, -0.0553894, 1, SeatedForwardBend
-0.028183, -0.0541992, 1, SeatedForwardBend
-0.0291138, -0.0533447, 1, SeatedForwardBend
-0.0298309, -0.0523987, 1, SeatedForwardBend
-0.0318604, -0.0479431, 1, SeatedForwardBend
-0.0336609, -0.0429688, 1, SeatedForwardBend
-0.0363159, -0.0416565, 1, SeatedForwardBend
